% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
2.2441,12.249,0.12503,0.1,-0.9658107606470937+0.2533314648164838j           ,0.003032744
2.2441,12.249,0.12503,0.2,-0.8660580146992585+0.48776889940262685j          ,0.012025016
2.2441,12.249,0.12503,0.3,-0.7088445384124963+0.6861727689321041j           ,0.026706352
2.2441,12.249,0.12503,0.4,-0.5066484631824831+0.8345895536255747j           ,0.046767612
2.2441,12.249,0.12503,0.5,-0.2751298099122629+0.9231936855779671j           ,0.072017007
2.2441,12.249,0.12503,0.6,-0.03192950247419321+0.9468258972667151j          ,0.102501227
2.2441,12.249,0.12503,0.7,0.20445793308230947+0.9053586963602324j           ,0.138522585
2.2441,12.249,0.12503,0.8,0.4159242796764201+0.8040737279106314j            ,0.180472434
2.2441,12.249,0.12503,0.9,0.5864704868890707+0.653927316463705j             ,0.228431433
2.2441,12.249,0.12503,1,0.7046255962081408+0.47109482756932075j           ,0.281572433
2.2441,12.249,0.12503,1.1,0.7660431792922038+0.2748776886754832j            ,0.337620104
2.2441,12.249,0.12503,1.2,0.7747034225266702+0.08367149435290198j           ,0.392833688
2.2441,12.249,0.12503,1.3,0.7410358611771386-0.08953536005333666j           ,0.442849272
2.2441,12.249,0.12503,1.4,0.6772363831607084-0.239317922802738j             ,0.484077813
2.2441,12.249,0.12503,1.5,0.5926049945103892-0.36611326029871344j           ,0.514780401
2.2441,12.249,0.12503,1.6,0.4917432287780708-0.4722264156690958j            ,0.535190809
2.2441,12.249,0.12503,1.7,0.37585086004718177-0.5584622687073761j           ,0.546856025
2.2441,12.249,0.12503,1.8,0.24530260100742818-0.6229194388609448j           ,0.551798007
2.2441,12.249,0.12503,1.9,0.10177304301399319-0.6616036042325147j           ,0.551922919
2.2441,12.249,0.12503,2,-0.05072600953674774-0.6698274238262025j          ,0.548758094
2.2441,12.249,0.12503,2.1,-0.20575127205887567-0.6436250949067948j          ,0.543413151
2.2441,12.249,0.12503,2.2,-0.3549198684461407-0.5808513027827789j           ,0.536643651
2.2441,12.249,0.12503,2.3,-0.48870390702678007-0.48190133394379525j         ,0.528939596
2.2441,12.249,0.12503,2.4,-0.5973616116075369-0.3500798304549863j           ,0.520603217
2.2441,12.249,0.12503,2.5,-0.6719116156726799-0.1916498693727806j           ,0.511805108
2.2441,12.249,0.12503,2.6,-0.705080886632925-0.015577977484872416j          ,0.50261827
2.2441,12.249,0.12503,2.7,-0.6921511060463982+0.16701529367215442j          ,0.493032738
2.2441,12.249,0.12503,2.8,-0.6316125428002419+0.3436775115082384j           ,0.482951364
2.2441,12.249,0.12503,2.9,-0.5255138272738324+0.5016493030197461j           ,0.472183194
